abolish eltöröl
abortion megszakítás
absence hiány
absent hiányzó
absorb elnyel
abstract absztrakt
absurd abszurd
abuse visszaélés
academy akadémia
accelerate felgyorsít
accent hangsúly
acceptance elfogadás
accessible hozzáférhető
accidentally véletlenül
accommodate befogad
accommodation szállás
accomplish megvalósítani, végrahajt
accomplishment teljesítmény
accordingly Eszerint
accountability elszámoltathatóság
accountable felelős
accountant Könyvelő
accumulate felhalmozódik
accumulation felhalmozódás
accuracy pontosság
accurately pontosan
accusation vád
accused vádlott
acid sav
acquisition beszerzés
acre hektáros
activate aktiválja
activation aktiválás
activist aktivista
acute akut
adaptation alkalmazkodás
addiction függőség
additionally emellett
adequate megfelelő
adequately megfelelően
adhere tapad
adjacent szomszédos
adjust beállítani
adjustment beállítás
administer kezel
administrative közigazgatási
administrator adminisztrátor
admission belépés
adolescent serdülő
adoption örökbefogadás
adverse hátrányos
advocate ügyvéd
aesthetic esztétika
affection szeretet
affordable megfizethető
aftermath következmény
aged idős
aggression agresszió
agricultural mezőgazdasági
agriculture mezőgazdaság
aide segéd
AIDS AIDS
alert éber
alien idegen
align igazítsa
alignment igazítás
alike hasonló
allegation állítás
allege állítólag
allegedly állítólag
alliance szövetség
allocate kioszt
allocation kiosztás
allowance juttatás
ally szövetséges
alongside mellett
altogether teljesen
aluminum alumínium
amateur amatőr
ambassador nagykövet
ambitious ambiciózus
ambulance mentőautó
amend módosít
amendment módosítás
amid között
amusing szórakoztató
analogy analógia
analyst elemző
ancestor ős
anchor horgony
angel angyal
animation élénkség
annually évente
anonymous névtelen
anticipate előre lát
anxiety szorongás
apology bocsánatkérés
apparatus berendezés
apparel ruházat
appealing vonzó
appetite étvágy
applaud tapsol
applicable alkalmazható
applicant pályázó
appoint kinevez
appreciation felértékelődés
appropriately megfelelően
arbitrary tetszőleges
architectural építészeti
archive archívum
arena aréna
arm kar
array sor
arrow nyíl
articulate tagolt
artwork alkotás
ash hamu
aspiration törekvés
aspire törekszik
assassination gyilkosság
assault támadás
assemble összeszerelni
assembly összeszerelés
assert állít
assertion állítás
asset eszköz
assign hozzárendelni
assistance támogatás
assumption feltevés
assurance biztosíték
assure biztosít
astonishing megdöbbentő
asylum bolondok háza
athletic atlétikai
atrocity kegyetlenség
attachment ragasztás
attain elér
attendance részvétel
attribute tulajdonság
auction árverés
audio hang-
audit könyvvizsgálat
authentic hiteles
authorize felhatalmaz
auto autó
autonomy autonómia
autumn ősz
availability elérhetőség
await várja
awareness tudatosság
awkward kínos
backdrop háttér
backing támogatás
backup biztonsági mentés
badge jelvény
bail óvadék
balanced kiegyensúlyozott
ballet balett
balloon ballon
ballot szavazás
bankruptcy csőd
banner transzparens
bare csupasz
barely alig
bargain alku
barrel hordó
basement pince
basket kosár
bass1 basszus1
bat denevér
battlefield csatatér
bay öböl
beam gerenda
beast vadállat
behalf nevében
behavioral magatartási
beloved szeretett
bench pad
benchmark viszonyítási alap
beneath alatt
beneficial előnyös
beneficiary kedvezményezett
beside mellett
besides kívül
betray elárul
beverage ital
